MarketID_period,eq_price
100101,103
200101,66
200201,66
200301,64
300101,112
300201,112
300301,112
300401,112
300501,112
400101,109
400201,109
400301,109
400401,109
400501,109
400601,109
500101,120
500102,120
500103,120
600101,65
600102,65
600201,65
600202,65
600301,65
600302,65
700101,550
700201,550
700301,550
700401,550
700501,550
700601,550
700701,550
700801,550
700901,550
701001,550
701101,550
900101,65
900102,65
900201,65
900202,65
900301,65
900302,65
1000101,126
1000201,126
1000301,126
1000401,126
1000501,126
1000601,126
1200101,123
1200201,123
1400101,78
1400102,78
1400201,78
1400202,78
1400301,78
1400302,78
1500101,175
1500201,175
1500301,175
1500401,175
1600101,117
1600201,117
1600301,117
1600401,117
1600501,117
1600601,117
1600701,117
1600801,115
1800101,112
1800102,112
1800201,112
1800202,112
1800301,112
1800302,112
2100101,112
2100102,112
2100103,112
2100201,112
2100202,112
2100203,112
2200101,112
2200201,112
2200301,112
2200401,112
2300101,110
2400101,116
2500101,100
2800101,112
2800201,112
2800301,112
2900101,112
2900201,112
2900301,112
2900401,112
2900501,112
3000101,96
3100101,520
3100201,520
3200101,96
3200102,96
3200201,96
3200202,96
3200301,96
3200302,96
3200401,96
3200402,96
3300101,406
3300102,406
3300103,406
3300104,406
3300105,406
3500101,112
3500102,112
3900101,105
3900201,105
4000101,106
4000102,106
4100101,96
4100102,96
4100201,96
4100202,96
4100301,96
4100302,96
4100401,96
4100402,96
4100501,96
4100502,96
4200101,112
4200201,112
4200301,112
4200401,112
4300101,115
4300102,115
4300103,115
4300104,115
4600101,112
4700101,101
4800101,112
4800201,112
4800301,112
4800401,112
4800501,112
4900101,57
4900201,57
4900301,57
5000101,113
5000102,113
5100101,112
5100201,112
5100401,112
5300101,105
5300201,105
5300301,105
5300401,105
5300501,105
5300502,105
5300601,105
5300701,105
5300801,105
5300802,105
5300901,105
5301001,105
5301101,105
5301601,105
5400101,262
5700101,112
5700201,108
6000101,520
6300101,112
6300102,112
6300201,112
6300202,112
6300301,112
6300302,112
