MarketID_period,offer_time,eq_price,eq_quantity,optimalconsumersurplus,optimalproducersurplus,optimal_surplus,Number_players,Quantity,ConsumerSurplus,ProducerSurplus,surplus,efficiency
100101,118590.0,103,17,894,665,1559,25,17,1056,167,1223,0.784477229
200101,344717.0,66,12,156,288,444,15,15,65,225,290,0.653153153
200201,328071.0,66,12,156,288,444,15,22,-206,260,54,0.121621622
200301,207758.0,64,2,38,56,94,2,2,26,68,94,1.0
300101,118485.0,112,13,260,416,676,10,12,354,283,637,0.942307692
300201,119760.0,112,13,260,416,676,10,11,94,463,557,0.823964497
300301,118552.0,112,13,260,416,676,10,13,304,359,663,0.980769231
300401,118838.0,112,13,260,416,676,10,15,191,469,660,0.976331361
300501,119138.0,112,13,260,416,676,10,12,429,228,657,0.971893491
400101,237167.0,109,14,301,560,861,10,14,506,346,852,0.989547038
400201,234522.0,109,14,301,560,861,10,14,193,650,843,0.979094077
400301,238491.0,109,14,301,560,861,10,12,119,670,789,0.916376307
400401,238882.0,109,14,301,560,861,10,12,222,603,825,0.958188153
400501,239729.0,109,14,301,560,861,10,13,-219,1005,786,0.912891986
400601,222887.0,109,14,301,560,861,10,15,-15,870,855,0.993031359
500101,119037.0,120,26,650,650,1300,20,25,456,790,1246,0.958461538
500102,115800.0,120,26,650,650,1300,20,25,347,891,1238,0.952307692
500103,118241.0,120,26,650,650,1300,20,27,477,755,1232,0.947692308
600101,119586.0,65,13,780,390,1170,10,12,264,856,1120,0.957264957
600102,119113.0,65,13,780,390,1170,10,10,303,732,1035,0.884615385
600201,116495.0,65,13,780,390,1170,10,11,585,520,1105,0.944444444
600202,117921.0,65,13,780,390,1170,10,12,306,664,970,0.829059829
600301,118529.0,65,13,780,390,1170,10,12,705,395,1100,0.94017094
600302,118112.0,65,13,780,390,1170,10,11,543,367,910,0.777777778
700101,114887.0,550,6,1545,1545,3090,20,7,-533,3214,2681,0.86763754
700201,115946.0,550,6,1545,1545,3090,20,8,1131,1526,2657,0.85987055
700301,117862.0,550,6,1545,1545,3090,20,7,2586,-136,2450,0.792880259
700401,113899.0,550,6,1545,1545,3090,20,7,867,1814,2681,0.86763754
700501,115854.0,550,6,1545,1545,3090,20,8,822,1604,2426,0.785113269
700601,115493.0,550,6,1545,1545,3090,20,7,1174,1507,2681,0.86763754
700701,119516.0,550,6,1545,1545,3090,20,7,1085,1904,2989,0.967313916
700801,117184.0,550,6,1545,1545,3090,20,7,304,1299,1603,0.518770227
700901,117548.0,550,6,1545,1545,3090,20,5,1637,861,2498,0.808414239
701001,118718.0,550,6,1545,1545,3090,20,8,589,1683,2272,0.735275081
701101,111199.0,550,6,1545,1545,3090,16,5,491,1622,2113,0.68381877
900101,118309.0,65,13,780,390,1170,10,6,299,361,660,0.564102564
900102,118134.0,65,13,780,390,1170,10,6,363,372,735,0.628205128
900201,119580.0,65,13,780,390,1170,10,14,284,851,1135,0.97008547
900202,113450.0,65,13,780,390,1170,10,12,317,833,1150,0.982905983
900301,119153.0,65,13,780,390,1170,10,9,142,763,905,0.773504274
900302,119004.0,65,13,780,390,1170,10,8,336,584,920,0.786324786
1000101,176570.0,126,4,50,254,304,10,8,17,-703,-686,-2.256578947
1000201,172218.0,126,4,50,254,304,10,9,-529,252,-277,-0.911184211
1000301,174824.0,126,4,50,254,304,10,10,-143,-326,-469,-1.542763158
1000401,176373.0,126,4,50,254,304,10,5,41,36,77,0.253289474
1000501,176212.0,126,4,50,254,304,10,6,-264,379,115,0.378289474
1000601,179664.0,126,4,50,254,304,10,7,-379,486,107,0.351973684
1200101,117319.0,123,14,196,378,574,12,14,228,312,540,0.940766551
1200201,119587.0,123,14,196,378,574,12,13,261,261,522,0.909407666
1400101,117860.0,78,13,312,156,468,10,12,268,182,450,0.961538462
1400102,106753.0,78,13,312,156,468,10,12,229,193,422,0.901709402
1400201,119037.0,78,13,312,156,468,10,11,290,158,448,0.957264957
1400202,119772.0,78,13,312,156,468,10,12,316,128,444,0.948717949
1400301,119381.0,78,13,312,156,468,10,13,145,277,422,0.901709402
1400302,116461.0,78,13,312,156,468,10,14,143,299,442,0.944444444
1500101,178873.0,175,3,225,225,450,10,1,36,64,100,0.222222222
1500201,178995.0,175,3,225,225,450,10,3,191,59,250,0.555555556
1500301,142832.0,175,3,225,225,450,10,3,26,274,300,0.666666667
1500401,149913.0,175,3,225,225,450,6,2,262,138,400,0.888888889
1600101,179171.0,117,9,153,261,414,10,11,129,174,303,0.731884058
1600201,179232.0,117,9,153,261,414,10,9,-162,468,306,0.739130435
1600301,175609.0,117,9,153,261,414,10,12,-20,321,301,0.72705314
1600401,178058.0,117,9,153,261,414,10,8,-265,556,291,0.702898551
1600501,179711.0,117,9,153,261,414,10,11,171,183,354,0.855072464
1600601,179733.0,117,9,153,261,414,10,9,-8,313,305,0.736714976
1600701,177908.0,117,9,153,261,414,10,12,259,11,270,0.652173913
1600801,172257.0,115,6,126,183,309,6,5,22,204,226,0.731391586
1800101,119334.0,112,13,260,416,676,10,11,354,281,635,0.939349112
1800102,119605.0,112,13,260,416,676,10,12,325,320,645,0.954142012
1800201,117324.0,112,13,260,416,676,10,12,403,224,627,0.927514793
1800202,119781.0,112,13,260,416,676,10,12,412,248,660,0.976331361
1800301,117502.0,112,13,260,416,676,10,8,164,310,474,0.701183432
1800302,116923.0,112,13,260,416,676,10,12,384,202,586,0.866863905
2100101,88577.0,112,13,260,416,676,10,10,122,438,560,0.828402367
2100102,95251.0,112,13,260,416,676,10,15,317,343,660,0.976331361
2100103,95948.0,112,13,260,416,676,10,12,174,438,612,0.905325444
2100201,99519.0,112,13,260,416,676,10,12,-409,1042,633,0.936390533
2100202,98197.0,112,13,260,416,676,10,13,67,593,660,0.976331361
2100203,96613.0,112,13,260,416,676,10,13,84,563,647,0.957100592
2200101,109955.0,112,13,260,416,676,10,15,409,251,660,0.976331361
2200201,102508.0,112,13,260,416,676,10,12,615,-45,570,0.843195266
2200301,116921.0,112,13,260,416,676,10,14,114,555,669,0.98964497
2200401,113598.0,112,13,260,416,676,10,12,96,537,633,0.936390533
2300101,287696.0,110,21,420,630,1050,16,24,39,981,1020,0.971428571
2400101,296566.0,116,17,306,578,884,12,15,288,564,852,0.963800905
2500101,177460.0,100,44,1254,1254,2508,23,36,1183,939,2122,0.846092504
2800101,111283.0,112,13,260,416,676,10,8,-34,485,451,0.667159763
2800201,118377.0,112,13,260,416,676,10,8,611,-128,483,0.714497041
2800301,119385.0,112,13,260,416,676,10,10,249,272,521,0.770710059
2900101,59270.0,112,13,260,416,676,10,13,288,375,663,0.980769231
2900201,58524.0,112,13,260,416,676,10,9,167,357,524,0.775147929
